sr_no,full_name,gender,phone_numbers,state,gre_score,toefl_score,university_ranking_range,sop_score,lor_score,cgpa,not_a_first_gen_applicant,research_years,interest_in_sports,plan_fa,admitted_or_not
1,Kevin Purviss,M,951-779-7991,California,308,110,3,3.5,3,8,0,1,basketball,0,0
2,Bev Guterson,M,218-482-7507,Minnesota,315,100,1,2,2.5,7.95,1,0,hockey,0,1
3,Devy Deakins,M,480-737-7514,Arizona,322,110,3,3.5,3,8.96,1,1,none,1,1
4,Lucien Mc Dermid,M,917-539-7540,New York,307,105,2,2,3.5,8.1,0,0,hockey,0,1
5,Ariana Jamson,F,904-736-3106,Florida,311,102,3,4.5,4,8.64,1,1,none,1,1
6,Rey Mochar,M,859-594-7128,Kentucky,301,106,4,2.5,3,8.47,1,0,basketball,1,1
7,Wolf De Nisco,M,605-196-8201,South Dakota,317,104,2,3,3,8.76,1,0,none,0,1
8,Tanya Chaffyn,F,901-140-3065,Tennessee,304,101,2,2,2.5,7.66,0,0,none,1,0
9,Forrest Branca,M,785-199-6280,Kansas,303,99,3,2,2.5,7.66,1,0,none,1,0
10,Morrie Siaskowski,M,903-189-6634,Texas,324,105,3,3,4,8.75,1,0,football,1,1
11,Marion Antoniazzi,F,814-739-4456,Pennsylvania,313,84,3,4,4.5,8.65,1,0,football,1,1
12,Joyan Raselles,F,816-256-2335,Missouri,316,105,3,3,3.5,8.73,0,0,basketball,1,1
13,Donal Brunini,M,614-216-1985,Ohio,324,111,3,2.5,2,8.8,1,1,none,1,1
14,Dennie Reynold,M,609-172-1698,New Jersey,308,103,2,2.5,4,8.36,0,1,basketball,1,1
15,Hermon Cavnor,M,404-116-2910,Georgia,297,96,2,2.5,1.5,7.89,0,0,none,1,0
16,Christel Batie,F,757-888-8753,Virginia,311,104,3,3.5,2,8.2,1,1,basketball,0,1
17,Flinn Lantuff,M,843-601-2271,South Carolina,294,93,1,1.5,2,7.36,0,0,none,1,0
18,Jay Limbourne,M,713-978-0390,Texas,325,106,3,3.5,4,8.4,0,1,none,0,1
19,Hartley Tomkies,M,713-309-5199,Texas,326,102,4,5,5,8.76,1,1,basketball,0,1
20,Faina Knight,F,205-260-9987,Alabama,328,116,5,5,5,9.5,0,1,basketball,0,1
21,Edouard Ricardou,M,480-708-4840,Arizona,304,105,2,3,3,8.2,0,1,basketball,1,1
22,Alard Foucar,M,405-396-2574,Oklahoma,329,114,5,4,5,9.3,1,1,none,0,1
23,Spense Doniso,M,928-622-2622,Arizona,302,101,2,2.5,3.5,7.96,1,0,hockey,0,0
24,Berty Trevna,M,915-219-1288,Texas,316,106,2,2.5,4,8.32,1,0,none,1,1
25,Sig Hearley,M,901-846-8991,Tennessee,306,103,2,2.5,3,8.36,1,0,football,1,1
26,Andras Spiers,M,765-990-6940,Indiana,319,108,3,3,3.5,8.54,1,1,none,1,1
27,Walden Hawthorn,M,651-763-6483,Minnesota,336,100,2,3,3,8,1,0,hockey,0,0
28,Paulina Quince,F,347-146-9279,New York,313,102,3,2.5,2.5,8.68,0,0,basketball,0,1
29,Zebedee Redwing,M,414-925-1760,Wisconsin,302,102,1,2,1.5,8,0,0,basketball,1,0
30,Clayson Eger,M,509-133-3969,Washington,303,100,2,3,3.5,8.06,1,1,none,1,1
31,Hildagard Edmett,F,304-902-4292,West Virginia,315,105,2,2,2.5,7.65,0,0,none,0,0
32,Mahala Klaff,F,770-947-6158,Georgia,329,111,4,4.5,4,9.01,0,1,football,1,1
33,Kellby Pyle,M,801-596-9249,Utah,305,112,3,3,3.5,8.65,1,0,none,0,1
34,Elton Cheyney,M,570-702-2512,Pennsylvania,324,112,5,5,5,9.08,1,1,basketball,0,1
35,Leigh Titcomb,M,216-847-5275,Ohio,329,111,4,4.5,4.5,9.18,0,1,none,0,1
36,Halli Isacoff,F,803-708-4558,South Carolina,324,111,5,4.5,4,9.16,1,1,basketball,0,1
37,Melisa Renfield,F,202-833-3074,District of Columbia,322,110,3,3.5,2.5,8.67,1,1,hockey,1,1
38,Christyna Blondell,F,213-221-4336,California,290,104,4,2,2.5,7.46,1,0,hockey,0,0
39,Tootsie Langland,F,719-851-4073,Colorado,300,105,1,1,2,7.8,1,0,basketball,0,1
40,Stearne Davidai,M,207-923-5588,Maine,334,114,4,4,4,9.43,0,1,football,1,1
41,Abba Milius,M,303-561-3929,Colorado,302,102,1,2,1.5,8,1,0,none,1,0
42,Delbert Danielovitch,M,405-461-9261,Oklahoma,331,116,5,4,4,9.26,1,1,basketball,0,1
43,Oswald Marr,M,512-997-2365,Texas,305,105,2,3,2,8.23,0,0,football,0,1
44,Davita Dachey,F,914-338-9695,New York,293,97,2,2,4,7.8,0,1,hockey,1,1
45,Ruby Wyd,M,612-727-7960,Minnesota,327,103,3,4,4,8.3,0,1,none,0,1
46,Tansy Gingell,F,208-275-8054,Idaho,294,95,1,1.5,1.5,7.64,0,0,none,0,0
47,Edythe Philipot,F,951-743-9786,California,300,99,1,1,2.5,8.01,0,0,none,0,1
48,Leonid Chellam,M,404-660-1956,Georgia,314,106,2,4,3.5,8.25,0,0,football,0,1
49,Ruth Manklow,F,334-815-3901,Alabama,296,101,1,2.5,3,7.68,1,0,football,1,1
50,Thadeus Revening,M,412-581-0040,Pennsylvania,300,99,1,3,2,6.8,0,1,none,0,0
51,Maribel Draye,F,518-707-0836,New York,314,108,3,4.5,3.5,8.14,0,0,none,1,1
52,Budd Malyj,M,828-579-5404,North Carolina,326,113,5,4.5,4,9.4,1,1,none,0,1
53,Rosamund Querree,F,901-296-5396,Tennessee,304,101,2,2,2.5,7.66,0,0,hockey,0,0
54,Dolph Binford,M,202-889-1180,District of Columbia,325,111,4,4,4.5,9.11,1,1,none,1,1
55,Kerry Mayell,F,910-216-5203,North Carolina,313,103,3,4,4,8.75,0,0,none,0,1
56,Stacee Wernher,M,601-448-8604,Mississippi,302,99,1,2,2,7.25,1,0,none,0,1
57,Dirk Galway,M,425-787-3687,Washington,322,110,5,5,4,9.1,0,1,none,0,1
58,Jacquelyn Tacker,F,304-700-9723,West Virginia,328,110,4,5,4,9.14,0,1,none,1,1
59,Pren Kobelt,M,518-934-6015,New York,325,107,3,3,3.5,9.11,0,1,none,0,1
60,Jamill Wardlaw,M,806-904-9164,Texas,312,107,3,3,3,8.46,1,1,basketball,1,1
61,Rhianna Ruggieri,F,323-856-8876,California,309,104,2,2,2.5,8.26,1,0,basketball,1,1
62,Fredra Linck,F,713-201-3770,Texas,298,98,2,1.5,2.5,7.5,1,1,basketball,0,0
63,Hailey Quilkin,M,915-645-7736,Texas,327,111,4,4,4.5,9,0,1,hockey,1,1
64,Meaghan Minichillo,F,402-973-9393,Nebraska,306,105,2,2.5,3,8.22,0,1,football,1,1
65,Shandee Markl,F,412-705-2684,Pennsylvania,316,98,1,1.5,2,7.43,0,0,football,1,0
66,Enrichetta Abrahams,F,202-696-2226,Maryland,311,99,1,2.5,3,8.43,0,1,none,0,1
67,Sheena Collinwood,F,504-518-3798,Louisiana,310,103,2,2.5,2.5,8.24,0,0,none,0,1
68,Joyann Clere,F,765-963-4583,Indiana,314,110,3,4,4,8.8,0,0,hockey,1,1
69,Riki Grece,F,614-471-6037,Ohio,313,109,3,4,3.5,9,1,0,football,1,1
70,Leonore Press,F,972-729-1832,Texas,340,120,5,4.5,4.5,9.91,1,1,none,1,1
71,Melvin Goudard,M,704-304-2853,North Carolina,310,106,2,3.5,2.5,8.33,0,0,none,0,1
72,Skippie Lunney,M,408-588-0145,California,303,99,3,2,2.5,7.66,0,0,none,0,0
73,Lorrayne O'Grada,F,859-475-1041,Kentucky,296,99,2,3,3.5,7.28,1,0,hockey,0,0
74,Amelia Briztman,F,909-900-2512,California,312,103,3,3.5,4,8.78,1,0,football,1,1
75,Ralph Seeviour,M,804-321-0108,Virginia,312,100,2,1.5,3.5,7.9,1,1,basketball,0,1
76,Innis Sarfati,M,772-295-8980,Florida,316,107,2,3.5,3.5,8.64,0,1,none,0,1
77,Cinderella Olyfant,F,240-507-8223,Maryland,290,100,1,1.5,2,7.56,0,0,none,0,0
78,Ernestus Pirnie,M,202-383-5881,District of Columbia,301,104,3,3.5,4,8.12,1,1,none,1,1
79,Gregor Brogan,M,404-794-1360,Georgia,295,96,2,1.5,2,7.34,0,0,basketball,0,0
80,Leanor Hevner,F,561-898-6853,Florida,324,115,3,3.5,3,8.76,0,1,none,1,1
81,Fredek Bertin,M,806-686-8550,Texas,309,106,2,2.5,2.5,8,0,0,none,1,1
82,Barbara-anne Bresnen,F,404-423-8061,Georgia,329,114,2,2,4,8.56,0,1,basketball,1,1
83,Chastity Summergill,F,561-539-9188,Florida,312,107,4,4.5,4,8.65,0,1,basketball,1,1
84,Marigold Escale,F,240-486-8371,Maryland,318,109,1,3.5,3.5,9.12,0,0,hockey,0,1
85,Tuck Conahy,M,229-231-9632,Georgia,320,111,4,4.5,3.5,8.87,0,1,basketball,1,1
86,Dov Fearenside,M,309-731-6349,Illinois,301,98,1,2,3,8.03,0,1,hockey,1,1
87,Rance Portress,M,845-572-4928,New York,310,99,2,1.5,2,7.3,0,0,hockey,0,1
88,Elena Penfold,F,904-660-4131,Florida,315,99,2,3.5,3,7.89,1,0,basketball,0,1
89,Shalne Denizet,F,215-409-8642,Pennsylvania,294,93,1,1.5,2,7.36,1,0,basketball,1,0
90,Gary Kleinlerer,M,602-110-4929,Arizona,312,103,3,5,4,8.45,0,0,football,0,1
91,Leland Doring,F,775-482-8752,Nevada,321,107,2,2,1.5,8.44,1,0,hockey,0,1
92,Sim Castellaccio,M,718-530-1260,New York,325,112,4,4,4.5,9.17,0,1,none,0,0
93,Lorilee Bengefield,F,541-415-0891,Oregon,330,115,5,4.5,3,9.34,0,1,basketball,1,1
94,Dacey Morrill,F,901-495-6810,Tennessee,313,102,3,3.5,4,8.9,1,1,hockey,0,1
95,Suzann Townsley,F,314-210-6092,Missouri,326,114,3,3,3,9.11,1,1,basketball,0,1
96,Herby Shorthill,M,540-124-4952,Virginia,301,99,2,3,2,8.22,1,0,none,1,1
97,Eada Crutcher,F,816-132-0254,Missouri,298,105,3,3.5,4,8.54,0,0,football,1,1
98,Duffy Longridge,M,571-336-0170,Virginia,316,105,2,2.5,2.5,8.2,1,1,hockey,0,0
99,Robbert McKie,M,205-737-3049,Alabama,340,113,4,5,5,9.74,0,1,basketball,1,1
100,Henrie Tithacott,F,310-520-6406,California,307,110,4,4,4.5,8.37,1,0,basketball,0,1
101,Harper Brewins,M,334-819-8269,Alabama,326,116,2,4.5,3,9.08,1,1,football,1,1
102,Carmine Keane,M,704-626-7272,North Carolina,317,110,3,4,4.5,9.11,0,1,basketball,1,1
103,Rosalynd Minigo,F,503-241-5954,Oregon,335,117,5,5,5,9.82,0,1,football,0,1
104,Benny Measey,F,907-948-3629,Alaska,296,97,2,1.5,2,7.8,0,0,basketball,1,0
105,Mickey Bellwood,M,315-804-7570,New York,320,104,3,3,3.5,8.74,0,1,football,1,1
106,Jim Farbrace,M,405-262-7143,Oklahoma,321,111,3,3.5,4,8.83,0,1,none,1,1
107,Morgun Perrigo,M,615-248-0164,Tennessee,317,101,3,3,2,7.94,1,1,football,0,0
108,Minne Slafford,F,585-881-1837,New York,309,99,3,4,4,8.56,0,0,hockey,1,1
109,Luke Yallowley,M,212-354-9674,New York,324,110,3,3.5,3,9.22,0,1,basketball,1,1
110,Roby Sandy,F,410-957-0702,Maryland,316,98,1,1.5,2,7.43,1,0,basketball,1,0
111,Alena Bruggen,F,330-837-3482,Ohio,316,109,4,4.5,3.5,8.76,0,1,football,1,1
112,Britta Dowtry,F,916-220-7450,California,312,105,3,2,3,8.02,0,1,basketball,1,0
